Java Developer,Python Developer,Deep learning,Machine Learning,UI Designing,Artificial Intelligence,Blockchain,Android Developer,Software Tester,Software Architect,Cloud administrator
java,numpy,neural network,linear regression,html,python ,blockchain,xml,software testing,design software,cloud computing
java script,python,keras,logistic regression,css,java,bitcoin,kotlin,web testing,develop software,web services
java servlets,flask,theano,svm,java script,R,sha,sdk,testing,decision makers ,aws
jquery,django,face detection ,support vector machine,react js,Ruby,consensus,sql,automated testing,Troubleshooting ,cloud 
reactjs,pandas,neural networks,k means,angularjs,algorithms,p2p,android studio,mannual testing,resolving issues,cloud maintainance
jdbc,sklearn,cnn,knn,react,probability ,peer to peer verification,android app,automation,3D Studio Max,Storage
ejb,scikitlearn,convolutional neural network,k nearest neighbour,php,statistics,cryptographic algorithm,mobile application,quality assurance,Autodesk,Networking
java servlets,matplotlib,rnn,random forest,jquery,classifiers,,android application,software quality,Check sheet.,Virtualisation
jms,scipy,recurrent neural network,naive bayes,sass,descision tree,,,quality management,Control chart.,Linux
jndi,seaborn,object detection,decission tree,Ui designing,machine learning,,,mitigate risk,Stratification,Security 
spring ,statsmodel,yolo,ensemble models,website designing,deep learning,,,prevent risk,Pareto chart.,Web Services
hibernet,spacy,cuda ,boltzman machine,web aaplication,data science,,,risk management,Histogram.,DevOps.
core java ,mathematical aptitude.,gpu,svd,local host,artificial intelligence,,,preparing reports,Cause-and-effect diagram ,Disaster Recovery
advance java,Problem-solving skills.,tensorflow,xgboost,web pages,,,,requirements satisfaction,Scatter diagram,API
Mathematical aptitude.,Programming languages,lstm,machine learning,angular,,,,DevOps ,fishbone ,
Problem-solving skills.,Excellent organisational,gan,,framework,,,,Agile,ishikawa,
Excellent organisational ,Accuracy and attention to detail.,opencv,,bootstrap,,,,QA analyst,architectural styles ,
Accuracy and attention to detail.,Developing,,,web designing,,,,Check sheet.,,
Developing,Coding,,,Sublime Text.,,,,Control chart.,,
Coding,Logical Thinking,,,Chrome Developer Tools.,,,,Stratification,,
Logical Thinking,Abstract Thinking,,,Firefox Developer.,,,,Pareto chart.,,
Abstract Thinking,,,,Photoshop,,,,Histogram.,,
,,,,Panic Coda,,,,Cause-and-effect diagram ,,
,,,,Dreamweaver,,,,Scatter diagram,,
,,,,Fireworks,,,,fishbone ,,
,,,,wordpresss,,,,ishikawa,,
,,,,,,,,Selenium,,
,,,,,,,,TestingWhiz,,
,,,,,,,,TestComplete,,
,,,,,,,,Ranorex,,
